Název provozovatele,B/H - IČ provozovatele (u fyzické osoby pokud bylo přiděleno),C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - ulice,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - PSČ,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - obec,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - okres,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - kraj,"C/CH - datová schránka, má-li ji subjekt zřízenou",D - předmět činnosti,E - právní forma,G - datum narození provozovatele - fyzické osoby,I - NÁZEV KNIHOVNY,R - EVIDENČNÍ ČÍSLO KNIHOVNY,J - druh knihovny,Kategorie - pomocný sloupec,K - adresa knihovny: ulice,K - adresa knihovny: PSČ,K - adresa knihovny: město,K - adresa knihovny: okres,K - adresa knihovny: kraj,M - emailový kontakt na autora záznamu,N - e-mailový kontakt na knihovnu,"O - odkaz na webovou stránku knihovny, respektive odkaz na informace o knihovně na webových stránkách provozovatele",P - provozní doba knihovny,Q - další informace,X - sigla,S - datum vytvoření záznamu,T - datum evidence knihovny,XXT - schvalovatel záznamu,U - datum aktualizace záznamu,XXU - schvalovatel aktualizace záznamu,aktivní / zrušená (vyřazená z evidence),V - datum vyřazení,XXV - vyřadil z evidence,W - důvod vyřazení z evidence,Y - číslo jednací,Poznámka
Muzeum skla a bižuterie v Jablonci nad Nisou,79481,U Muzea 398/4,466 01,Jablonec nad Nisou,Jablonec nad Nisou,Liberecký,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Knihovna Muzea skla a bižuterie v Jablonci nad Nisou,5730,základní se specializovaným knihovním fondem,muzejní,U Muzea 398/4,466 01,Jablonec nad Nisou,Jablonec nad Nisou,Liberecký,, ,www.msb-jablonec.cz, ,, ,2004-06-21,2003-12-02 00:00:00,Čermáková,,,A,, ,,k 19116/2003,
Základní škola T. G. Masaryka Poděbrady,61631477,Školní 556,290 01,Poděbrady,Nymburk,Středočeský,,poskytování základního vzdělání,,,Školní knihovna Základní školy T. G. Masaryka Poděbrady,5731,základní,ZŠ,Školní 556,290 01,Poděbrady,Nymburk,Středočeský,, ,,8.00-15.30  -  8.00-15.30 - 8.00-15.30 - 8.00-15.30 - 8.00-15.30 ,, ,2004-06-21,2003-12-02 00:00:00,Čermáková,,,A,, ,,k 18233/2003,
Obec Chrášťany,241288,Chrášťany 28,252 19,Rudná u Prahy,Praha-západ,Středočeský,,obecní úřad,,,Místní knihovna v Chrášťanech,5732,základní,public,Chrášťany 28,252 19,Rudná u Prahy,Praha-západ,Středočeský,, ,, ,, ,2004-06-21,2003-12-02 00:00:00,Čermáková,,,V,2022-07-26 00:00:00,St. Firstová,,k 19109/2003,
Obec Potštejn,275271,Lázeňská 93,517 43,Potštejn,Rychnov nad Kněžnou,Královéhradecký,,obecní úřad,,,Obecní knihovna Potštejn,5733,základní,public,Lázeňská 93,517 43,Potštejn,Rychnov nad Kněžnou,Královéhradecký,, ,, ,,RKG506,2004-06-21,2003-12-02 00:00:00,Čermáková,,,A,, ,,k 19026/2003,
Obec Mrákotín,60104171,Mrákotín 52,539 72,Raná,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna Mrákotín,5734,základní,public,Mrákotín 52,539 72,Raná,Chrudim,Pardubický,, ,, ,, ,2004-06-21,2003-12-02 00:00:00,Čermáková,,,A,, ,,k 19018/2003,
Obec Činěves,239046,Činěves 250,289 01,Dymokury,Nymburk,Středočeský,,obecní úřad,,,Obecní knihovna v Činěvsi,5735,základní,public,Činěves 250,289 01,Dymokury,Nymburk,Středočeský,, ,,11.30-15.30  -  11.30-15.30 - 11.30-15.30 - 11.30-15.30 - 11.30-15.30 ,, ,2004-06-21,2003-12-10 00:00:00,Čermáková,,,A,, ,,k 16443/2003,
Obec Jilem,666432,Jilem,378 53,Strmilov,Jindřichův Hradec,Jihočeský,,obecní úřad,,,Obecní knihovna Jilem,5736,základní,public,Jilem,378 53,Strmilov,Jindřichův Hradec,Jihočeský,, ,, ,, ,2004-06-21,2003-12-10 00:00:00,Čermáková,,,A,, ,,k 20802/2003,
Obec Kamenné Žehrovice,234508,Karlovarská 6,273 01,Kamenné Žehrovice,Kladno,Středočeský,,obecní úřad,,,Obecní knihovna v Kamenných Žehrovicích,5737,základní,public,Karlovarská 6,273 01,Kamenné Žehrovice,Kladno,Středočeský,, ,, ,, ,2004-06-21,2003-12-10 00:00:00,Čermáková,,,A,, ,,k 20050/2003,
Obec Horní Radouň,246735,Horní Radouň 109,377 42,Nová Včelnice,Jindřichův Hradec,Jihočeský,,obecní úřad,,,Obecní knihovna Horní Radouň,5738,základní,public,Horní Radouň 109,377 42,Nová Včelnice,Jindřichův Hradec,Jihočeský,, ,, ,, ,2004-06-21,2003-12-10 00:00:00,Čermáková,,,A,, ,,k 19650/2003,
Obec Zvěřínek,640689,Hořátevská 41,289 13,Zvěřínek,Nymburk,Středočeský,,obecní úřad,,,Obecní knihovna ve Zvěřínku,5739,základní,public,Hořátevská 41,289 13,Zvěřínek,Nymburk,Středočeský,, ,, ,, ,2004-06-21,2003-12-10 00:00:00,Čermáková,,,A,, ,,k 19600/2003,
Obec Písty,239623,Písty 33,289 13,Zvěřínek,Nymburk,Středočeský,,obecní úřad,,,Obecní knihovna v Pístech,5740,základní,public,Písty 33,289 13,Zvěřínek,Nymburk,Středočeský,, ,,,,,2004-06-21,2003-12-10 00:00:00,Čermáková,2008-06-24 00:00:00,St. Firstová,V,2022-07-26 00:00:00,St. Firstová,,k 20029/2003,
"Muzeum Prostějovska v Prostějově, příspěvková organizace",91405,nám. T. G. Masaryka 2,796 01,Prostějov,Prostějov,Olomoucký,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,"Knihovna Muzea Prostějovska v Prostějově, příspěvková organizace",5741,základní se specializovaným knihovním fondem,muzejní,nám. T. G. Masaryka 2,796 01,Prostějov,Prostějov,Olomoucký,, ,www.muzeumpv.cz, ,, ,2003-12-10,2003-12-10 00:00:00,Čermáková,,,A,, ,,k 19701/2003,
"Vysoká škola finanční a správní, a. s.",4274644,Vltavská 12,15000,Praha 5,Praha,Hlavní město Praha,,vzdělávací a vědecko-výzkumná činnost,,,"Centrum knihovnických služeb Vysoké školy finanční a správní, a. s. - Odborná knihovna prof. Mojmíra Helíska",5742,základní se specializovaným knihovním fondem,VŠ,Vltavská 12,150 00,Praha 5,Praha,Hlavní město Praha,, ,,"7.30-12.15, 12.45-18.30  -  7.30-12.15, 12.45-18.30  - 7.30-12.15, 12.45-18.30 - 7.30-12.15, 12.45-18.30 - 7.30-12.15, 12.45-18.30 - 8.00-12.00 ",, ,2004-06-22,2003-12-10 00:00:00,Čermáková,"21.11.2006, 26.1.2017, 25.10.2022","St. Firstová, Švastová, St. Firstová",A,,,,"k 18100/2003, 55048/2022",
"Střední škola informatiky, poštovnictví a finančnictví Brno",380385,Čichnova 23,624 00,Brno,Brno-město,Jihomoravský,,poskytování středního odborného vzdělání,,,"Informační centrum Střední školy informatiky, poštovnictví a finančnictví Brno",5743,základní se specializovaným knihovním fondem,"SŠ, VOŠ, SŠ a VOŠ, jazykové",Čichnova 23,624 00,Brno,Brno-město,Jihomoravský,, ,, ,, ,2004-06-22,2003-12-10 00:00:00,Čermáková,2006-10-25 00:00:00,St. Firstová,A,,,,k 20055/2003,
Obec Mrtník,258130,Mrtník 52,331 52,Dolní Bělá,Plzeň-sever,Plzeňský,,obecní úřad,,,Obecní knihovna Mrtník,5744,základní,public,Mrtník 52,331 52,Dolní Bělá,Plzeň-sever,Plzeňský,, ,, ,, ,2004-06-22,2003-12-10 00:00:00,Čermáková,,,A,, ,,k 20108/2003,
Obec Újezdec,579645,Újezdec,570 01,Litomyšl,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna v Újezdci,5745,základní,public,Újezdec,570 01,Litomyšl,Svitavy,Pardubický,, ,, ,, ,2004-06-22,2003-12-10 00:00:00,Čermáková,,,A,, ,,k 20213/2003,
Obec Vyšehněvice,274615,Vyšehněvice 8,533 41,Lázně Bohdaneč,Pardubice,Pardubický,,obecní úřad,,,Obecní knihovna ve Vyšehněvicích,5746,základní,public,Vyšehněvice 8,533 41,Lázně Bohdaneč,Pardubice,Pardubický,, ,,,,,2004-06-22,2003-12-10 00:00:00,Čermáková,,,V ,2022-10-10 00:00:00,St. Firstová ,,"k 19670/2003, 49581/2022 ",
Obec Pyšely,240664,Náměstí T. G. Masaryka 4,251 67,Pyšely,Benešov,Středočeský,,obecní úřad,,,Obecní knihovna v Pyšelích,5747,základní,public,Pražská 168,251 67,Pyšely,Benešov,Středočeský,, ,,,,,2004-06-22,2003-12-10 00:00:00,Čermáková,,,A,, ,,k 19546/2003,
Obec Újezd,299618,Újezd 83,783 96,Újezd,Olomouc,Olomoucký,,obecní úřad,,,Obecní knihovna Újezd - Rybníček,5748,základní,public,Rybníček 468,783 96,Újezd,Olomouc,Olomoucký,, ,,,,,2004-06-24,2003-12-10 00:00:00,Čermáková,,,V,2007-03-31 00:00:00,St. Firstová,,k 19682/2003,
Obec Velká Kraš,635855,Velká Kraš 132,790 58,Velká Kraš,Jeseník,Moravskoslezský,,obecní úřad,,,Obecní knihovna Velká Kraš,5749,základní,public,Velká Kraš 132,790 58,Velká Kraš,Jeseník,Olomoucký,, ,, ,, ,2004-06-22,2003-12-10 00:00:00,Čermáková,,,A,, ,,k 19900/2003,
Obec Ženklava,600831,Ženklava 243,742 67,Ženklava,Nový Jičín,Moravskoslezský,,obecní úřad,,,Místní knihovna Ženklava,5750,základní,public,Ženklava 243,742 67,Ženklava,Nový Jičín,Moravskoslezský,, ,,16.00-18.00 ,, ,2004-06-22,2003-12-10 00:00:00,Čermáková,,,A,, ,,k 19922/2003,
Obec Morašice,270547,Morašice 17,538 02,Morašice,Chrudim,Pardubický,,obecní úřad,,,Místní knihovna Morašice,5751,základní,public,Morašice 17,538 02,Morašice,Chrudim,Pardubický,, ,, ,, ,2004-06-23,2003-12-10 00:00:00,Čermáková,,,A,, ,,k 20200/2003,
Obec Holčovice,295990,Holčovice 44,793 71,Holčovice,Bruntál,Moravskoslezský,,obecní úřad,,,Místní knihovna v Holčovicích,5752,základní,public,Holčovice 44,793 71,Holčovice,Bruntál,Moravskoslezský,, ,, ,, ,2004-06-23,2003-12-10 00:00:00,Čermáková,,,A,, ,,k 20400/2003,
Obec Nový Dvůr,876097,Nový Dvůr,289 32,Nový Dvůr,Nymburk,Středočeský,,obecní úřad,,,Obecní knihovna v Novém Dvoře,5753,základní,public,Nový Dvůr 25,289 32,Nový Dvůr,Nymburk,Středočeský,, ,, ,, ,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 20825/2003,
Obec Očelice,275158,Očelice 9,517 71,České Meziříčí,Rychnov nad Kněžnou,Královéhradecký,,obecní úřad,,,Místní knihovna Očelice,5754,základní,public,Očelice 9,517 71,České Meziříčí,Rychnov nad Kněžnou,Královéhradecký,, ,, ,, ,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 21285/2003,
Obec Staré Buky,278262,Staré Buky 50,542 43,Staré Buky,Trutnov,Královéhradecký,,obecní úřad,,,Obecní knihovna Staré Buky,5755,základní,public,Staré Buky 50,542 43,Staré Buky,Trutnov,Královéhradecký,, ,, ,, ,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 20549/2003,
Obec Řepice,667820,Řepice 1,386 01,Strakonice,Strakonice,Jihočeský,,obecní úřad,,,Obecní knihovna v Řepici,5756,základní,public,Řepice 1,386 01,Strakonice,Strakonice,Jihočeský,, ,http://www.repice.cz/knihovna/index.php, ,, ,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 20765/2003,
Obec Bělotín,301019,Bělotín 151,753 64,Bělotín,Přerov,Olomoucký,,obecní úřad,,,Místní knihovna Bělotín,5757,základní,public,Bělotín,753 64,Bělotín,Přerov,Olomoucký,, ,http://www.belotin.cz/tema/tema.phtml?id=4205, ,,PRG510,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 20755/2003,
Obec Bělotín,301019,Bělotín 151,753 64,Bělotín,Přerov,Olomoucký,,obecní úřad,,,Místní knihovna Lučice,5758,základní,public,Lučice,753 64,Bělotín,Přerov,Olomoucký,, ,,,,PRG510,2004-06-23,2003-12-16 00:00:00,Čermáková,,,V,2016-02-29 00:00:00,M. Fojtík,,k 20755/2003,
Obec Bělotín,301019,Bělotín 151,753 64,Bělotín,Přerov,Olomoucký,,obecní úřad,,,Místní knihovna Kunčice,5759,základní,public,Kunčice,753 64,Bělotín,Přerov,Olomoucký,, ,, ,,PRG510,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 20755/2003,
Obec Bělotín,301019,Bělotín 151,753 64,Bělotín,Přerov,Olomoucký,,obecní úřad,,,Místní knihovna Nejdek,5760,základní,public,Nejdek,753 64,Bělotín,Přerov,Olomoucký,, ,, ,,PRG510,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 20755/2003,
"Muzeum Vyškovska ve Vyškově, příspěvková organizace",92401,Nám. Čsl. armády 2,682 01,Vyškov,Vyškov,Jihomoravský,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,"Knihovna Muzea Vyškovska ve Vyškově, příspěvkové organizace",5761,základní se specializovaným knihovním fondem,muzejní,Nám. Čsl. armády 2,682 01,Vyškov,Vyškov,Jihomoravský,, ,http://www.muzeum-vyskovska.cz/o-nas/knihovna/, ,,VYE301,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 21104/2003,
Město Milevsko,249831,Nám. E. Beneše 420,399 01,Milevsko,Písek,Jihočeský,,městský úřad,,,Místní knihovna ve Dmýšticích,5762,základní,public,Dmýštice 13,399 01,Milevsko,Písek,Jihočeský,, ,, ,, ,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 20827/2003,
Město Milevsko,249831,Nám. E. Beneše 420,399 01,Milevsko,Písek,Jihočeský,,obecní úřad,,,Místní knihovna ve Velké,5763,základní,public,Velká 34,399 01,Milevsko,Písek,Jihočeský,, ,, ,, ,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 20827/2003,
Obec Vlčí Habřina,274585,Vlčí Habřina 104,533 41,Lázně Bohdaneč,Pardubice,Pardubický,,obecní úřad,,,Obecní knihovna Vlčí Habřina,5764,základní,public,Vlčí Habřina 104,533 41,Lázně Bohdaneč,Pardubice,Pardubický,, ,, ,, ,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 20632/2003,
"Oblastní muzeum v Děčíně, příspěvková organizace",360210,třída České mládeže 1/31,405 02,Děčín,Děčín,Ústecký,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,"Knihovna Oblastního muzea v Děčíně, příspěvkové organizace",5765,základní se specializovaným knihovním fondem,muzejní,třída České mládeže 1/31,405 02,Děčín,Děčín,Ústecký,, ,, ,,DCE002,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 21303/2003,
"Oblastní muzeum v Děčíně, příspěvková organizace",360210,třída České mládeže 1/31,405 02,Děčín,Děčín,Ústecký,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,"Knihovna Oblastního muzea v Děčíně, příspěvkové organizace, pobočka Rumburk",5766,základní se specializovaným knihovním fondem,muzejní,Na Valech 401/4,408 01,Rumburk,Děčín,Ústecký,, ,, ,,DCE002,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 21303/2003,
"Oblastní muzeum v Děčíně, příspěvková organizace",360210,třída České mládeže 1/31,405 02,Děčín,Děčín,Ústecký,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,"Knihovna Oblastního muzea v Děčíně, příspěvkové organizace, pobočka Varnsdorf",5767,základní se specializovaným knihovním fondem,muzejní,Poštovní 415,407 47,Varnsdorf,Děčín,Ústecký,, ,, ,,DCE002,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 21303/2003,
Obec Račice,16981901,Račice 52,270 26,Zbečno,Rakovník,Středočeský,,obecní úřad,,,Obecní knihovna v Račicích,5768,základní,public,Račice 52,270 26,Zbečno,Rakovník,Středočeský,, ,, ,, ,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 20900/2003,
Obec Ledečko,236209,Ledečko 13,285 06,Sázava,Kutná Hora,Středočeský,,obecní úřad,,,Obecní knihovna Ledečko,5769,základní,public,Ledečko 13,285 06,Sázava,Kutná Hora,Středočeský,, ,, ,, ,2004-06-23,2003-12-16 00:00:00,Čermáková,,,A,, ,,k 20958/2003,
Obec Nemanice,253634,Nemanice 17,345 36,Nemanice,Domažlice,Plzeňský,,obecní úřad,,,Místní knihovna Nemanice,5770,základní,public,Nemanice 17,345 36,Nemanice,Domažlice,Plzeňský,, ,, ,, ,2004-06-23,2003-12-16 00:00:00,Čermáková,,,V,2016-06-30 00:00:00,M. Fojtík,,k 20923/2003,
Obec Chelčice,251241,Chelčice 123,389 01,Vodňany,Strakonice,Jihočeský,,obecní úřad,,,Komunitní centrum Chelčice,5771,základní,public,Chelčice 14,389 01,Vodňany,Strakonice,Jihočeský,, ,, ,, ,2004-06-23,2003-12-16 00:00:00,Čermáková,2022-05-19 00:00:00,St. Firstová,A,, ,,k 21168/2003,
"Dům kultury Uherský Brod, příspěvková organizace",227986,Mariánské náměstí 2187,688 01 ,Uherský Brod,Uherské Hradiště,Zlínský,,městský úřad,,,Městská knihovna Františka Kožíka Uherský Brod - pobočka Újezdec u Luhačovic,5772,základní,public,Podhájí 291,687 34,Újezdec u Luhačovic,Uherské Hradiště,Zlínský,, ,, ,,UHG501,2004-06-23,2003-12-16 00:00:00,Čermáková,2022-10-31 00:00:00,St. Firstová,A,, ,,"k 2631/2003, 61016/2022",
Město Uherský Brod,291463,Masarykovo nám. 100,687 17,Uherský Brod,Uherské Hradiště,Zlínský,,městský úřad,,,Městská knihovna Uherský Brod - pobočka Havřice,5773,základní,,Havřice 22,687 17,Uherský Brod,Uherské Hradiště,Zlínský,, ,, ,,UHG501,2004-06-23,2003-12-16 00:00:00,Čermáková,,,V,2005-08-10 00:00:00,St. Firstová,,k 2631/2003,
"Dům kultury Uherský Brod, příspěvková organizace",227986,Mariánské náměstí 2187,688 01 ,Uherský Brod,Uherské Hradiště,Zlínský,,městský úřad,,,Knihovna Františka Kožíka Uherský Brod - pobočka Máj,5774,základní,public,Náměstí 1. máje 2056,688 01,Uherský Brod,Uherské Hradiště,Zlínský,, ,, ,,UHG501,2004-06-23,2003-12-16 00:00:00,Čermáková,2022-10-31 00:00:00,St. Firstová,A,, ,,"k 2631/2003, 61015/2022",
Obec Lazinov,43420613,Lazinov 121,679 62,Křetín,Blansko,Jihomoravský,,obecní úřad,,,Obecní knihovna Lazinov,5775,základní,public,Lazinov 121,679 62,Křetín,Blansko,Jihomoravský,, ,, ,, ,2004-06-23,2003-12-22 00:00:00,Čermáková,,,A,, ,,k 21628/2003,
Obec Dolní Novosedly,512036,Dolní Novosedly,397 01,Dolní Novosedly,Písek,Jihočeský,,obecní úřad,,,Obecní knihovna Dolní Novosedly,5776,základní,public,Dolní Novosedly,397 01,Dolní Novosedly,Písek,Jihočeský,, ,, ,, ,2004-06-23,2003-12-22 00:00:00,Čermáková,,,A,, ,,k 21534/2003,
Obec Dívčice,244775,Dívčice 41,373 48,Dívčice,České Budějovice,Jihočeský,,obecní úřad,,,Obecní knihovna v Dívčicích,5777,základní,public,Dívčice 34,373 48,Dívčice,České Budějovice,Jihočeský,, ,, ,, ,2004-06-23,2003-12-22 00:00:00,Čermáková,,,A,, ,,k 21514/2003,
Obec Dívčice,244775,Dívčice 41,373 48,Dívčice,České Budějovice,Jihočeský,,obecní úřad,,,Obecní knhovna v Dubenci,5778,základní,public,Dívčice 41,373 48,Dívčice,České Budějovice,Jihočeský,, ,, ,, ,2004-06-23,2003-12-22 00:00:00,Čermáková,,,V,2007-10-01 00:00:00,St. Firstová,,k 21514/2003,
Obec Vrané nad Vltavou,241831,Březovská 112,252 46,Vrané nad Vltavou,Praha-západ,Středočeský,,obecní úřad,,,Místní knihovna Vrané nad Vltavou,5779,základní,public,Březovská 382,252 46,Vrané nad Vltavou,Praha-západ,Středočeský,, ,www.vranenadvltavou.cz, ,, ,2004-06-23,2003-12-22 00:00:00,Čermáková,,,A,, ,,k 21436/2003,
Obec Veselá,276243,Veselá,512 52,Veselá,Semily,Liberecký,,obecní úřad,,,Místní knihovna ve Veselé,5780,základní,public,Veselá 56,512 52,Veselá,Semily,Liberecký,, ,, ,, ,2004-06-23,2003-12-22 00:00:00,Čermáková,,,A,, ,,k 21364/2003,
Obec Veselá,276243,Veselá,512 52,Veselá,Semily,Liberecký,,obecní úřad,,,Místní knihovna v Kotelsku,5781,základní,public,Kotelsko,512 52,Veselá,Semily,Liberecký,, ,, ,, ,2004-06-23,2003-12-22 00:00:00,Čermáková,,,A,, ,,k 21364/2003,
Obec Újezdec u Sezemic,580597,Újezd u Sezemic,533 04,Sezemice,Pardubice,Pardubický,,obecní úřad,,,Obecní knihovna Újezd u Sezemic,5782,základní,public,Újezd u Sezemic 30,533 04,Sezemice,Pardubice,Pardubický,, ,, ,, ,2004-06-23,2003-12-22 00:00:00,Čermáková,,,A,, ,,k 21260/2003,
Obec Křetín,280402,Křetín,679 62,Křetín,Blansko,Jihomoravský,,obecní úřad,,,Místní knihvna Křetín,5783,základní,public,Křetín 100,679 62,Křetín,Blansko,Jihomoravský,, ,, ,, ,2004-06-23,2003-12-22 00:00:00,Čermáková,,,A,, ,,k 21291/2003,
Muzeum umění Olomouc,494569,Denisova 47,771 11,Olomouc,Olomouc,Olomoucký,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Knihovna Muzea umění Olomouc,5784,základní se specializovaným knihovním fondem,muzejní,Denisova 47,771 11,Olomouc,Olomouc,Olomoucký,, ,, ,,OLE3030,2004-06-23,2003-12-22 00:00:00,Čermáková,,,A,, ,,k 21420/2003,
"Janáčkova konzervatoř a Gymnázium v Ostravě, příspěvková organizace",602078,Českobratrská 40,701 62,Ostrava-Moravská Ostrava 1,Ostrava-město,Moravskoslezský,,"poskytování středního odborného vzdělání pro obor zpěv, hudba, tanec nebo dramatické umění",,,"Knihovna Janáčkovy konzervatoře 
a Gymnazia v Ostravě, příspěvkové organizace",5785,základní se specializovaným knihovním fondem,"SŠ, VOŠ, SŠ a VOŠ, jazykové",Českobratrská 40,701 62,Ostrava-Moravská Ostrava 1,Ostrava-město,Moravskoslezský,,katerina.kudlova@jko.cz,, ,, ,2004-06-23,2003-12-22 00:00:00,Čermáková,2007-09-14 00:00:00,St. Firstová,A,,,,k 21735/2003,
JABOK - Vyšší odborná škola sociálně pedagogická a teologická,45769621,Salmovská 8,120 00,Praha 2,Praha,Hlavní město Praha,,poskytování vyššího odborného vzdělání,,,Knihovna Jabok,5786,základní se specializovaným knihovním fondem,"SŠ, VOŠ, SŠ a VOŠ, jazykové",Salmovská 8,120 00,Praha 2,Praha,Hlavní město Praha,, ,http://knihovna.jabok.cz, ,,ABG312,2004-06-23,2003-12-22 00:00:00,Čermáková,2006-08-30 00:00:00,St. Firstová,A,,,,k 21410/2003,
Slezské zemské muzeum,100595,Tyršova 1,746 46,Opava,Opava,Moravskoslezský,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Ústřední knihovna Slezského zemského muzea,5787,základní se specializovaným knihovním fondem,muzejní,Nádražní okruh 31,746 46,Opava,Opava,Moravskoslezský,,knihovna@szmo.cz,,"9.30-11.30, 12.30-16.30  -  9.30-11.30, 12.30-16.30 - 12.30-16.30 - 8.30-11.30 - 8.30-11.30 ",,OPE301,2004-06-23,2003-12-22 00:00:00,Čermáková,,,A,, ,,k 21448/2003,
Obec Václavovice,297330,Obecní 130,739 34,Šenov,Frýdek-Místek,Moravskoslezský,,obecní úřad,,,Obecní knihovna ve Václavovicích,5788,základní,public,Obecní 364,739 34,Šenov,Frýdek-Místek,Moravskoslezský,, ,, ,, ,2004-06-23,2003-12-22 00:00:00,Čermáková,,,A,, ,,k 21409/2003,
Obec Žulová,303682,Hlavní 36,790 65,Žulová,Jeseník,Olomoucký,,obecní úřad,,,Místní knihovna Tomíkovice,5789,základní,public,Tomíkovice 336,790 65,Žulová,Jeseník,Olomoucký,, ,, ,,JEG501,2004-06-24,2003-12-22 00:00:00,Čermáková,,,V,2023-04-03 00:00:00,St. Firstová,,"k 17643/2002, 22313/2023",
Obec Bukovka,273422,Bukovka,533 41,Lázně Bohdaneč,Pardubice,Pardubický,,obecní úřad,,,Obecní knihovna v Bukovce,5790,základní,public,Bukovka 28,533 41,Lázně Bohdaneč,Pardubice,Pardubický,, ,, ,, ,2004-06-24,2003-12-22 00:00:00,Čermáková,,,A,, ,,k 21377/2003,
Obec Ráječko,280844,Nám. 1. Máje 250,679 02,Rájec-Jestřebí,Blansko,Jihomoravský,,obecní úřad,,,Obecní knihovna Ráječko,5791,základní,public,Dlouhá 279,679 02,Rájed-Jestřebí,Blansko,Jihomoravský,, ,, ,, ,2004-06-24,2003-12-22 00:00:00,Čermáková,2007-11-08 00:00:00,St. Firstová,A,,,,k 21540/2003,
Obec Bojanov,269867,Bojanov 18,538 26,Bojanov,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna v Bojanově,5792,základní,public,Bojanov 18,538 26,Bojanov,Chrudim,Pardubický,, ,, ,, ,2004-06-24,2003-12-22 00:00:00,Čermáková,,,A,, ,,k 21500/2003,
Obec Koclířov,276839,Koclířov 123,569 11,Koclířov,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna Koclířov,5793,základní,public,Koclířov 123,569 11,Koclířov,Svitavy,Pardubický,, ,, ,, ,2004-06-24,2003-12-22 00:00:00,Čermáková,,,A,, ,,k 21492/2003,
Obec Třibřichy,485365,Třibřichy 10,537 01,Chrudim,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna v Třibřichách,5794,základní,public,Třibřichy 10,537 01,Chrudim,Chrudim,Pardubický,, ,, ,, ,2004-06-24,2003-12-22 00:00:00,Čermáková,,,A,, ,,k 21636/2003,
Obec Bezděčí u Trnávky,194514,Bezděčí u Trnávky 19,569 43,Bezděčí u Trnávky,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna Bezděčí u Trnávky,5795,základní,public,Bezděčí u Trnávky 19,569 43,Bezděčí u Trnávky,Svitavy,Pardubický,, ,, ,, ,2004-06-24,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 85/2004,
Obec Chornice,276693,Chornice 41,569 42,Chornice,Svitavy,Pardubický,,obecní úřad,,,Obecní knihovna Chornice,5796,základní,public,Chornice 41,569 42,Chornice,Svitavy,Pardubický,, ,, ,, ,2004-06-24,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 82/2004,
Obec Přepychy,274127,Přepychy 45,533 16,Vápno,Pardubice,Pardubický,,obecní úřad,,,Obecní knihovna Přepychy,5797,základní,public,Přepychy 45,533 16,Vápno,Pardubice,Pardubický,, ,, ,, ,2004-06-24,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22170/2003,
Obec Valy nad Labem,274526,Valy nad Labem,535 01,Valy nad Labem,Pardubice,Pardubický,,obecní úřad,,,Obecní knihovna Valy nad Labem,5798,základní,public,Valy nad Labem,535 01,Valy nad Labem,Pardubice,Pardubický,, ,, ,, ,2004-06-24,2004-01-07 00:00:00,Čermáková,,,A,, ,,k 22060/2003,
