Nazev provozovatele|B/H - IC provozovatele (u fyzicke osoby pokud bylo prideleno)|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - ulice|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - PSC|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - obec|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - okres|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - kraj|C/CH - datova schranka, ma-li ji subjekt zrizenou|D - predmet cinnosti|E - pravni forma|G - datum narozeni provozovatele - fyzicke osoby|I - NAZEV KNIHOVNY|R - EVIDENCNI CISLO KNIHOVNY|J - druh knihovny|Kategorie - pomocny sloupec|K - adresa knihovny: ulice|K - adresa knihovny: PSC|K - adresa knihovny: mesto|K - adresa knihovny: okres|K - adresa knihovny: kraj|M - emailovy kontakt na autora zaznamu|N - e-mailovy kontakt na knihovnu|O - odkaz na webovou stranku knihovny, respektive odkaz na informace o knihovne na webovych strankach provozovatele|P - provozni doba knihovny|Q - dalsi informace|X - sigla|S - datum vytvoreni zaznamu|T - datum evidence knihovny|XXT - schvalovatel zaznamu|U - datum aktualizace zaznamu|XXU - schvalovatel aktualizace zaznamu|aktivni / zrusena (vyrazena z evidence)|V - datum vyrazeni|XXV - vyradil z evidence|W - duvod vyrazeni z evidence|Y - cislo jednaci|Poznamka
Obec Dysina|22257745|nam. Miru 30|330 02|Dysina|Plzen-sever|Plzensky||obecni urad|||Obecni knihovna Dysina|5947|zakladni|public|Pratelstvi 281|330 02|Dysina|Plzen-sever|Plzensky|| || || |2004-07-09|2004-03-24 00:00:00|Cermakova|||A|| ||k 5010/2004|
Obec Bednarec|512923|Bednarec 27|378 42|Nova Vcelnice|Jindrichuv Hradec|Jihocesky||obecni urad|||Obecni knihovna v Bednarci|5948|zakladni|public|Bednarec 27|378 42|Nova Vcelnice|Jindrichuv Hradec|Jihocesky|| || || |2004-07-09|2004-03-24 00:00:00|Cermakova|||A|| ||k 1750/2004|
Obec Vlcetinec|666572|Vlcetinec 32|378 42|Nova Vcelnice|Jindrichuv Hradec|Jihocesky||obecni urad|||Obecni knihovna Vlcetinec|5949|zakladni|public|Vlcetinec 32|378 42|Nova Vcelnice|Jindrichuv Hradec|Jihocesky|| || || |2004-07-09|2004-03-24 00:00:00|Cermakova|||A|| ||k 4660/2004|
Obec Zahori|512770|Zahori|378 21|Kardasova Recice|Jindrichuv Hradec|Jihocesky||obecni urad|||Obecni knihovna v Zahori|5950|zakladni|public|Zahori|378 21|Kardasova Recice|Jindrichuv Hradec|Jihocesky|| || || |2004-07-09|2004-03-24 00:00:00|Cermakova|||A|| ||k 3718/2004|
Obec Okrouhla Radoun|666483|Okrouhla Radoun 82|378 42|Nova Vcelnice|Jindrichuv Hradec|Jihocesky||obecni urad|||Obecni knihovna v Okrouhle Radouni|5951|zakladni|public|Okrouhla Radoun 82|378 42|Nova Vcelnice|Jindrichuv Hradec|Jihocesky|| || || |2004-07-12|2004-03-24 00:00:00|Cermakova|||A|| ||k 3727/2004|
Obec Tulesice|637050|Tulesice 18|671 41|Tulesice|Znojmo|Jihomoravsky||obecni urad|||Mistni knihovna Tulesice|5952|zakladni|public|Tulesice 18|671 41|Tulesice|Znojmo|Jihomoravsky|| || || |2004-07-12|2004-03-24 00:00:00|Cermakova|||A|| ||k 4650/2004|
Domov duchodcu Susice|49207482|Nabrezi Jana Seitze 155|342 01|Susice|Klatovy|Plzensky||komplexni pece pro stare obcany|||Knihovna Domova duchocu Susice|5953|zakladni|public|Nabrezi Jana Seitze 155|342 01|Susice|Klatovy|Plzensky|| || || |2004-07-12|2004-04-05 00:00:00|Cermakova|||A|| ||k 3848/2004|
Zahradnici, o. p. s.|25920022|T.G.Masaryka 527|570 01|Litomysl|Svitavy|Pardubicky||priprava odbornych seminaru a skoleni pro potreby praxe v navaznosti na vychovne vzdelavaci proces|||Skolni zahradnicka knihovna|5954|zakladni|SS, VOS, SS a VOS, jazykove|T.G.Masaryka 527|570 01|Litomysl|Svitavy|Pardubicky|| || || |2004-07-12|2004-03-24 00:00:00|Cermakova|||A|| ||k 167/2004|
Obec Zachrastany|653438|Zachrastany 35|504 01|Novy Bydzov|Hradec Kralove|Kralovehradecky||obecni urad|||Obecni knihovna Zachrastany|5955|zakladni|public|Zachrastany 35|504 01|Novy Bydzov|Hradec Kralove|Kralovehradecky|| || || |2004-07-12|2004-04-05 00:00:00|Cermakova|||A|| ||k 5778/2004|
Obec Kresetice|236187|Kresetice|285 47|Kresetice|Kutna Hora|Stredocesky||obecni urad|||Mistni knihovna v Kreseticich|5956|zakladni|public|Kresetice 1|285 47|Kresetice|Kutna Hora|Stredocesky|| ||8.30-14.00  -  8.30-14.00, 17.00-19.00 - 8.30-14.00 - 8.30-14.00, 16.00-19.00 - 8.30-14.00 || |2004-07-12|2004-04-05 00:00:00|Cermakova|2006-12-21 00:00:00|St. Firstova|V|2022-07-26 00:00:00|St. Firstova||k 5767/2004|
Obec Zvikovec|573868|Zvikovec 100|338 08|Zvikovec|Rokycany|Plzensky||obecni urad|||Mistni knihovna Zvikovec|5957|zakladni|public|Zvikovec 100|338 08|Zvikovec|Rokycany|Plzensky|| || || |2004-07-12|2004-04-05 00:00:00|Cermakova|2008-01-02 00:00:00|St. Firstova|A||||k 5665/2004|
Obec Nechvalice|242829|Nechvalice 62|264 01|Sedlcany|Pribram|Stredocesky||obecni urad|||Obecni knihovna v Nechvalicich|5958|zakladni|public|Nechvalice 62|264 01|Sedlcany|Pribram|Stredocesky|| || || |2004-07-12|2004-04-05 00:00:00|Cermakova|||A|| ||k 5590/2004|
Obec Pulecny|832332|Pulecny 26|468 02|Rychnov u Jablonce nad Nisou|Jablonec nad Nisou|Liberecky||obecni urad|||Obecni knihovna Pulecny|5959|zakladni|public|Pulecny 22|468 02|Rychnov u Jablonce nad Nisou|Jablonec nad Nisou|Liberecky|| || || |2004-07-12|2004-04-05 00:00:00|Cermakova|||V|2015-02-28 00:00:00|M. Fojtik||k 5600/2004|
Obec Krepice|637408|Krepice 45|671 40|Tavikovice|Znojmo|Jihomoravsky||obecni urad|||Mistni knihovna Krepice|5960|zakladni|public|Krepice 45|671 40|Tavikovice|Znojmo|Jihomoravsky|| || ||ZNG512|2004-07-12|2004-04-05 00:00:00|Cermakova|||A|| ||k 5480/2004|
Obec Bukovinka|532100|Bukovinka|679 05|Krtiny|Blansko|Jihomoravsky||obecni urad|||Obecni knihovna v Bukovince|5961|zakladni|public|Bukovinka 126|679 05|Krtiny|Blansko|Jihomoravsky|| || || |2004-07-12|2004-04-05 00:00:00|Cermakova|||A|| ||k 5320/2004|
Vysoka skola ekonomicka v Praze|61384399|nam. Winstona Churchilla 4|130 67|Praha 3|Praha|Hlavni mesto Praha||vzdelavaci a vedecko-vyzkumna cinnost|||Knihovna Vysoke skoly ekonomicke v Praze - Centrum informacnich a knihovnickych sluzeb (CIKS)|5962|zakladni se specializovanym knihovnim fondem|VS|nam. Winstona Churchilla 4|130 67|Praha 3|Praha|Hlavni mesto Praha|| || ||ABA006|2004-07-12|2004-04-05 00:00:00|Cermakova|||A|| ||k 5315/2004|
Narodni zemedelske muzeum, prispevkova organizace Mze CR|48135968|Kostelni 44|170 00|Praha 7 Letna|Praha|Hlavni mesto Praha||uchovani, zpracovani a zpristupnovani sbirek muzejni povahy|||Knihovna Narodniho zemedelskeho muzea na zamku Kacina s pobockami v zamku Ohrada a muzeu Valtice|5963|zakladni se specializovanym knihovnim fondem|muzejni|Svaty Mikulas 51|284 01|Kutna Hora|Kutna Hora|Stredocesky|| || ||KHE801|2004-07-12|2004-04-05 00:00:00|Cermakova|2008-02-09 00:00:00|St. Firstova|A||||k 5768/2004|
Stredni zdravotnicka skola|601152|Dvorakovy sady 2|746 21|Opava|Opava|Moravskoslezsky||poskytovani stredniho odborneho vzdelani|||Odborna knihovna Stredni zdravotnicke skoly|5964|zakladni se specializovanym knihovnim fondem|SS, VOS, SS a VOS, jazykove|Dvorakovy sady 2|746 21|Opava|Opava|Moravskoslezsky|| || || |2004-07-12|2004-04-05 00:00:00|Cermakova|||A|| ||k 5654/2004|
Obec Kostelecke Horky|274984|Kostelecke Horky|517 41|Kostelec nad Orlici|Rychnov nad Kneznou|Kralovehradecky||obecni urad|||Mistni knihovna Kostelecke Horky|5965|zakladni|public|Kostelecke Horky|517 41|Kostelec nad Orlici|Rychnov nad Kneznou|Kralovehradecky|| || || |2004-07-12|2004-04-05 00:00:00|Cermakova|||A|| ||k 5300/2004|
Obec Mokre|579131|Mokre 12|517 71|Ceske Mezirici|Rychnov nad Kneznou|Kralovehradecky||obecni urad|||Knihovna U Mokrinky Mokre|5966|zakladni|public|Mokre 12|517 71|Ceske Mezirici|Rychnov nad Kneznou|Kralovehradecky|| |www.obecmokre.cz/knihovna |18.00-20.00 || |2004-07-12|2004-04-05 00:00:00|Cermakova|2023-12-05 00:00:00|St. Firstova|A|| ||k 5314/2004|
Mesto Horni Cerekev|248185|nam. T. G. Masaryka 41|394 03|Horni Cerekev|Pelhrimov|Vysocina||mestsky urad|||Mistni knihovna Tesenov|5967|zakladni|public|Tesenov 56|394 03|Horni Cerekev|Pelhrimov|Vysocina|| || ||PEG503|2004-07-12|2004-04-05 00:00:00|Cermakova|||A|| ||k 15432/2002|
Obec Drhovy|242161|Drhovy 65|263 01|Dobris|Pribram|Stredocesky||obecni urad|||Obecni knihovna Drhovy|5968|zakladni|public|Drhovy 65|263 01|Dobris|Pribram|Stredocesky|| || || |2004-07-12|2004-04-28 00:00:00|Cermakova|||A|| ||k 6135/2004|
Obec Svinare|233862|Svinare 64|267 28|Svinare|Beroun|Stredocesky||obecni urad|||Obecni knihovna Svinare|5969|zakladni|public|Svinare 64|267 28|Svinare|Beroun|Stredocesky|| || || |2004-07-12|2004-04-28 00:00:00|Cermakova|||A|| ||k 6050/2004|
Obec Breznik|289132|Breznik 110|675 74|Breznik|Trebic|Vysocina||obecni urad|||Mistni lidova knihovna v Brezniku|5970|zakladni|public|Breznik 247|675 74|Breznik|Trebic|Vysocina|| |www.naseknihovna.cz/breznik| || |2004-07-12|2004-04-28 00:00:00|Cermakova|||A|| ||k 21858/2002|
Obec Postrizin|240621|Prazska 42|250 70|Odolena Voda|Praha-vychod|Stredocesky||obecni urad|||Obecni knihovna Postrizin|5971|zakladni|public|Prazska 42|250 70|Odolena Voda|Praha-vychod|Stredocesky|| || || |2004-07-13|2004-04-28 00:00:00|Cermakova|||A|| ||k 6493/2004|
Obec Sobekury|257222|Sobekury 47|334 01|Prestice|Plzen-jih|Plzensky||obecni urad|||Mistni knihovna v Sobekurech|5972|zakladni|public|Sobekury 47|334 01|Prestice|Plzen-jih|Plzensky|| || || |2004-07-13|2004-04-28 00:00:00|Cermakova|||A|| ||k 18071/2002|
Stredoceske muzeum v Roztokach u Prahy|69850|Zamek 1|252 63|Roztoky u Prahy|Praha-zapad|Stredocesky||uchovani, zpracovani a zpristupnovani sbirek muzejni povahy|||Knihovna Stredoceskeho muzea v Roztokach u Prahy|5973|zakladni se specializovanym knihovnim fondem|muzejni|Zamek 1|252 63|Roztoky u Prahy|Praha-zapad|Stredocesky|| ||9.00-15.00 - 9.00-15.00 || |2004-07-13|2004-04-28 00:00:00|Cermakova|||A|| ||k 6062/2004|
Pamatnik Karla Capka ve Stare Huti u Dobrise|61100757|Stara Hut 125|262 02|Stara Hut u Dobrise|Pribram|Stredocesky||viceucelove kulturni zarizeni a muzeum-pamatnik spisovatele Karla Capka|||Knihovna Pamatniku Karla Capka ve Stare Huti u Dobrise|5974|zakladni se specializovanym knihovnim fondem|kultura|Stara Hut 125|262 02|Stara Hut u Dobrise|Pribram|Stredocesky|| ||9.00-17.00 - 9.00-17.00 - 9.00-17.00 - 9.00-17.00 - 9.00-17.00 - 9.00-17.00 || |2004-07-13|2004-04-28 00:00:00|Cermakova|||A|| ||k 6444/2004|
Obec Vemyslice|293768|Vemyslice 31|671 42|Vemyslice|Znojmo|Jihomoravsky||obecni urad|||Mistni knihovna Vemyslice|5975|zakladni|public|Vemyslice 31|671 42|Vemyslice|Znojmo|Jihomoravsky|| || || |2004-07-13|2004-04-28 00:00:00|Cermakova|||A|| ||k 6226/2004|
Obec Tetcice|44947917|Palackeho 177|664 17|Tetcice|Brno-venkov|Jihomoravsky||obecni urad|||Obecni knihovna Tetcice|5976|zakladni|public|Palackeho 177|664 17|Tetcice|Brno-venkov|Jihomoravsky|| || || |2004-07-13|2004-04-28 00:00:00|Cermakova|||A|| ||k 6479/2004|
Obec Moldava|266507|Moldava 113|417 81|Moldava|Teplice|Ustecky||obecni urad|||Knihovna Adolfa Branalda|5977|zakladni|public|Moldava 113|417 81|Moldava|Teplice|Ustecky|| || || |2004-07-13|2004-04-28 00:00:00|Cermakova|2004-06-18 00:00:00|Cermakova|A||||k 7174/2004|
Obec Modlany|266493|Modlany 34|417 13|Modlany|Teplice|Ustecky||obecni urad|||Obecni knihovna Modlany|5978|zakladni|public|Modlany 20|417 13|Modlany|Teplice|Ustecky|| || || |2004-04-13|2004-04-28 00:00:00|Cermakova|||A|| ||k 7175/2004|
Obec Vysoke Popovice|282871|Vysoke Popovice|664 84|Zastavka u Brna|Brno-venkov|Jihomoravsky||obecni urad|||Obecni knihovna Vysoke Popovice|5979|zakladni|public|Vysoke Popovice 35|664 84|Zastavka|Brno-venkov|Jihomoravsky|| || || |2004-07-13|2004-04-28 00:00:00|Cermakova|||A|| ||k 6119/2004|
Obec Chlistov|377295|Chlistov 44|675 22|Starec|Trebic|Vysocina||obecni urad|||Obecni knihovna Chlistov|5980|zakladni|public|Chlistov 11|675 22|Starec|Trebic|Vysocina|| || || |2004-07-13|2004-04-28 00:00:00|Cermakova|||A|| ||k 7080/2004|
Mesto Kostany|266400|Teplicka 297|417 23|Kostany|Teplice|Ustecky||mestsky urad|||Mestska knihovna v Kostanech|5981|zakladni|public|Komenskeho nam. 351|417 23|Kostany|Teplice|Ustecky|| |WWW.KOSTANZ.WORDPRESS.COM| || |2004-09-06|2004-09-03 00:00:00|Cermakova|||A|| ||k 7173/2004|
Mesto Kostany|266400|Teplicka 297|417 23|Kostany|Teplice|Ustecky||mestsky urad|||Mestska knihovna v Kostanech, pobocka ve Strelne|5982|zakladni|public|Sidliste 216|417 23|Kostany|Teplice|Ustecky|| || || |2004-09-06|2004-09-03 00:00:00|Cermakova|||A|| ||k 7173/2004|
Obec Zalkovice|287962|Zalkovice 97|768 23|Brest|Kromeriz|Zlinsky||obecni urad|||Mistni knihovna v Zalkovicich|5983|zakladni|public|Zalkovice 97|768 23|Brest|Kromeriz|Zlinsky|| || || |2004-07-13|2004-05-07 00:00:00|Cermakova|||A|| ||k 7610/2004|
Narodni pamatkovy ustav - uzemni odborne pracoviste Pardubice|75032333|Valdstejnske nam. 3|118 01|Praha 1-Mala Strana|Praha|Hlavni mesto Praha||pamatkovy ustav|||Knihovna Narodniho pamatkoveho ustavu - uzemniho odborneho pracoviste v Pardubicich|5984|zakladni se specializovanym knihovnim fondem|NPU|Zamek 4|531 16|Pardubice|Pardubice|Pardubicky|| || || |2004-07-13|2004-05-07 00:00:00|Cermakova|||A|| ||k 7470/2004|
Narodni pamatkovy ustav - uzemni odborne pracoviste v Usti nad Labem|75032333|Valdstejnske nam. 3|118 01|Praha 1-Mala Strana|Praha|Hlavni mesto Praha||pamatkovy ustav|||Knihovna Narodniho pamatkoveho ustavu - uzemniho odborneho pracoviste v Usti nad Labem|5985|zakladni se specializovanym knihovnim fondem|NPU|Podmokelska 1|400 07|Usti nad Labem - Krasne Brezno|Usti nad Labem|Ustecky|| || ||ULC003|2004-07-13|2004-05-07 00:00:00|Cermakova|2016-08-15 00:00:00|M. Fojtik|A|| ||k 7470/2004|
Narodni pamatkovy ustav - uzemni odborne pracoviste v Ostrave|75032333|Valdstejnske nam. 3|118 01|Praha 1-Mala Strana|Praha|Hlavni mesto Praha||pamatkovy ustav|||Knihovna Narodniho pamatkoveho ustavu - uzemniho odborneho pracoviste v Ostrave|5986|zakladni se specializovanym knihovnim fondem|NPU|Korejska 12|702 00|Ostrava-Privoz|Ostrava-mesto|Moravskoslezsky|| ||9.00-12.00  -  9.00-12.00 - 9.00-12.00 ||OSE305|2004-07-13|2004-05-07 00:00:00|Cermakova|||A|| ||k 7470/2004|
Multikulturni centrum Praha|70098085|Vodickova 36(Palac Lucerna)|116 02|Praha 1|Praha|Hlavni mesto Praha||realizovani aktivit vedoucich k pluralitnimu vnimani sveta, respektu k odlisnosti a hledani alternativ pro souziti lidi z ruznych kulturnich, vekovych, socialnich a nabozenskych skupin|||Knihovna Multikulturniho centra Praha|5987|zakladni se specializovanym knihovnim fondem|multikultur|Vodickova 36(Palac Lucerna)|116 02|Praha 1|Praha|Hlavni mesto Praha|| ||10 - 15 hod. - 12 - 19 hod. ||ABE363|2004-07-13|2004-05-07 00:00:00|Cermakova|2008-01-23 00:00:00|St. Firstova|A||||k 7520/2004|
Obec Sytno|70886814|Sytno 72|349 01|Stribro|Tachov|Plzensky||obecni urad|||Mistni knihovna v Sytne|5988|zakladni|public|Sytno 37|349 01|Stribro|Tachov|Plzensky|| || || |2004-07-13|2004-05-07 00:00:00|Cermakova|||A|| ||k 7537/2004|
Obec Dobsin|509299|Dobsin|294 04|Dolni Bousov|Mlada Boleslav|Stredocesky||obecni urad|||Obecni knihovna Dobsin|5989|zakladni|public|Dobsin 41|294 04|Dolni Bousov|Mlada Boleslav|Stredocesky|||||||2004-07-13|2004-05-07 00:00:00|Cermakova|||V|2022-03-21 00:00:00|St. Firstova||k 7519/2004|
Obec Palovice|378321|Palovice 35|675 31|Jemnice|Trebic|Vysocina||obecni urad|||Mistni knihovna v Palovicich|5990|zakladni|public|Palovice 35|675 31|Jemnice|Trebic|Vysocina||||18.00-20.00 |||2004-07-13|2004-05-07 00:00:00|Cermakova|||V|2024-10-01 00:00:00|P. Dolezalova||k 7340/2004, MK 76688/2024 OUKKO|Vyrazena z evidence, knihovna zrusena
Obec Verovice|298531|Verovice 70|742 73|Verovice|Novy Jicin|Moravskoslezsky||obecni urad|||Mistni knihovna Verovice|5991|zakladni|public|Verovice 1|742 73|Verovice|Novy Jicin|Moravskoslezsky|| ||14.00-18.00 || |2004-07-13|2004-05-07 00:00:00|Cermakova|||A|| ||k 7646/2004|
Obec Sanov|293571|Hlavni 65|671 68|Hrabetice|Znojmo|Jihomoravsky||obecni urad|||Mistni knihovna Sanov|5992|zakladni|public|Hlavni 82|671 68|Hrabetice|Znojmo|Jihomoravsky|| || || |2004-07-13|2004-05-26 00:00:00|Cermakova|||A|| ||k 7797/2004|
Stredni prumyslova skola strojnicka, technicka a Vyssi odborna skola, Chrudim|15052591|Caslavska 973|573 01|Chrudim|Chrudim|Pardubicky||poskytovani stredniho a vyssiho odborneho vzdelani|||Technicka knihovna, Stredni prumyslova skola strojnicka, technicka a Vyssi odborna skola, Chrudim|5993|zakladni se specializovanym knihovnim fondem|SS, VOS, SS a VOS, jazykove|Caslavska 973|573 01|Chrudim|Chrudim|Pardubicky|| || || |2004-07-13|2004-05-26 00:00:00|Cermakova|2006-08-15 00:00:00|St. Firstova|V|2019-03-11 00:00:00|S. Polakova||k 8018/2004|
Obec Hodonice|292788|Obecni 287|671 25|Hodonice|Znojmo|Jihomoravsky||obecni urad|||Mistni knihovna v Hodonicich|5994|zakladni|public|Zahradni 151|671 25|Hodonice|Znojmo|Jihomoravsky|| |www.hodonice.knihovna.cz|14.00-16.00 || |2004-07-13|2004-05-26 00:00:00|Cermakova|||A|| ||k 13396/2002|
Obec Ohare|235601|Ohare 45|281 30|Ohare|Kolin|Stredocesky||obecni urad|||Obecni knihovna Ohare|5995|zakladni|public|Ohare 45|281 30|Ohare|Kolin|Stredocesky|| || || |2004-07-13|2004-05-26 00:00:00|Cermakova|||A|| ||k 7945/2004|
Obec Kadlin|662224|Kadlin 8|277 35|Mseno|Melnik|Stredocesky||obecni urad|||Mistni knihovna Kadlin|5996|zakladni|public|Kadlin 8|277 35|Mseno|Melnik|Stredocesky|| || || |2004-07-13|2004-05-26 00:00:00|Cermakova|||A|| ||k 7978/2004|
Obec Vsestudy|237311|Vsestudy 7|277 46|Veltrusy|Melnik|Stredocesky||obecni urad|||Mistni knihovna ve Vsestudech|5997|zakladni|public|Vsestudy 7|277 46|Veltrusy|Melnik|Stredocesky||obec.vsestudy@c-box.cz|| || |2004-07-13|2004-05-26 00:00:00|Cermakova|||A|| ||k 8286/2004|
Obec Cerna Hora|280097|Namesti Miru 50|679 21|Cerna Hora|Blansko|Jihomoravsky||obecni urad|||Obecni knihovna Cerna Hora|5998|zakladni|public|Budovatelska 282|679 21|Cerna Hora|Blansko|Jihomoravsky|| || ||BKG508|2004-07-13|2004-05-26 00:00:00|Cermakova|||A|| ||k 8330/2004|
Obec Kozojedy|235491|Kozojedy 40|281 63|Kostelec nad Cernymi lesy|Kolin|Stredocesky||obecni urad|||Obecni knihovna Kozojedy|5999|zakladni|public|Kozojedy 40|281 63|Kostelec nad Cernymi lesy|Kolin|Stredocesky|| || || |2004-07-13|2004-05-26 00:00:00|Cermakova|||A|| ||k 8776/2004|
Klub slovenske kultury|48137839|Lipanska 873/4|130 00|Praha 3|Praha|Hlavni mesto Praha||rozvijeni a prohlubovani cesko-slovenskych vztahu|||Knihovna Klubu slovenske kultury|6000|zakladni se specializovanym knihovnim fondem|kultura|Lipanska 873/4|130 00|Praha 3|Praha|Hlavni mesto Praha|| || || |2004-07-13|2004-05-26 00:00:00|Cermakova|||A|| ||k 8678/2004|
Obec Dolni Lukavice|256561|Dolni Lukavice 134|334 44|Dolni Lukavice|Plzen-jih|Plzensky||obecni urad|||Mistni knihovna ve Snopousovech|6001|zakladni|public|Dolni Lukavice 134|334 44|Dolni Lukavice|Plzen-jih|Plzensky|| || || |2004-07-15|2004-05-26 00:00:00|Cermakova|||V|2018-02-05 00:00:00|B. Stepanova||k 16558/2002|Knihovna zrusena, zapis v EK zrusen ke dni 5.2.2018
Mesto Rozmital pod Tremsinem|243221|Namesti 8|262 42|Rozmital pod Tremsinem|Pribram|Stredocesky||mestsky urad|||Obecni knihovna ve Voltusi|6002|zakladni|public|Voltus 61|262 42|Rozmital pod Tremsinem|Pribram|Stredocesky|| || ||PBG505|2004-07-15|2004-05-26 00:00:00|Cermakova|||A|| ||k 16019/2002|
Mesto Rozmital pod Tremsinem|243221|Namesti 8|262 42|Rozmital pod Tremsinem|Pribram|Stredocesky||mestsky urad|||Obecni knihovna ve Stryckovech|6003|zakladni|public|Kulturni dum Stryckovy 28|262 42|Rozmital pod Tremsinem|Pribram|Stredocesky|| || ||PBG505|2004-07-15|2004-05-26 00:00:00|Cermakova|||A|| ||k 16019/2002|
Mesto Rozmital pod Tremsinem|243221|Namesti 8|262 42|Rozmital pod Tremsinem|Pribram|Stredocesky||mestsky urad|||Obecni knihovna v Pnovicich|6004|zakladni|public|Pnovice 50|262 42|Rozmital pod Tremsinem|Pribram|Stredocesky|| || ||PBG505|2004-07-15|2004-05-26 00:00:00|Cermakova|||A|| ||k 16019/2002|
Mesto Rozmital pod Tremsinem|243221|Namesti 8|262 42|Rozmital pod Tremsinem|Pribram|Stredocesky||mestsky urad|||Obecni knihovna v Hutich pod Tremsinem|6005|zakladni|public|Hute 23|262 42|Rozmital pod Tremsinem|Pribram|Stredocesky|| || ||PBG505|2004-07-15|2004-05-26 00:00:00|Cermakova|||A|| ||k 16019/2002|
EkoCentrum Brno|44991029|Ponavka 2|602 00|Brno|Brno-mesto|Jihomoravsky||aktivity v oblasti ekologicke vychovy, ochrany prirody apod.|||Ekoteka|6006|zakladni se specializovanym knihovnim fondem|zemedelstvi, ekologie, biologie, potravinarstvi, ovocnarstvi, lesnictvi, zahradnictvi|Ponavka 2|602 00|Brno|Brno-mesto|Jihomoravsky|| || || |2004-07-15|2004-06-04 00:00:00|Cermakova|||A|| ||k 9291/2004|
Obec Ledce|275034|Ledce|517 71|Ceske Mezirici|Rychnov nad Kneznou|Kralovehradecky||obecni urad|||Mistni knihovna Ledce|6007|zakladni|public|Ledce|517 71|Ceske Mezirici|Rychnov nad Kneznou|Kralovehradecky|| || || |2004-07-15|2004-06-04 00:00:00|Cermakova|||A|| ||k 9300/2004|
Obec Dublovice|242195|Dublovice 33|262 51|Dublovice|Pribram|Stredocesky||obecni urad|||Obecni knihovna v Lichovech|6008|zakladni|public|Lichovy 41|262 51|Dublovice|Pribram|Stredocesky|| || || |2004-07-15|2004-06-04 00:00:00|Cermakova|||A|| ||k 10619/2003|
Obec Vojkovice u Kralup nad Vltavou|237299|Vojkovice 137|277 44|Vojkovice u Kralup nad Vltavou|Melnik|Stredocesky||obecni urad|||Mistni knihovna ve Vojkovicich|6009|zakladni|public|Vojkovice 23|277 44|Vojkovice u Kralup nad Vltavou|Melnik|Stredocesky|| || || |2004-07-15|2004-06-04 00:00:00|Cermakova|||A|| ||k 9082/2004|
Mesto Nechanice|269191|Husovo nam. 83|503 15|Nechanice|Hradec Kralove|Kralovehradecky||mestsky urad|||Mestska knihovna Nechanice, pobocka se sidlem v Tuniknihovna se stala pobockou MeK Nechanice|6010|zakladni||Tune|503 15|Nechanice|Hradec Kralove|Kralovehradecky|| || ||HKG506|2004-07-15|2004-06-04 00:00:00|Cermakova|||V|2008-06-30 00:00:00|St. Firstova||k 14418/2002|
Mesto Nechanice|269191|Husovo nam. 83|503 15|Nechanice|Hradec Kralove|Kralovehradecky||mestsky urad|||Mestska knihovna Nechanice, pobocka se sidlem v Suche|6011|zakladni|public|Sucha|503 15|Nechanice|Hradec Kralove|Kralovehradecky|| || ||HKG506|2004-07-15|2004-06-04 00:00:00|Cermakova|||A|| ||k 14418/2002|
Galerie Stredoceskeho kraje, prispevkova organizace|69922|Barborska 51-53|284 01|Kutna Hora|Kutna Hora|Stredocesky||uchovani, zpracovani a zpristupnovani sbirek muzejni povahy|||Knihovna Galerie Stredoceskeho kraje (Jezuitska knihovna)|6012|zakladni se specializovanym knihovnim fondem|kultura (galerie)|Barborska 53/54|284 01|Kutna Hora|Kutna Hora|Stredocesky|| || || |2004-07-15|2004-06-18 00:00:00|Cermakova|2015-04-24 00:00:00|M. Fojtik|A|| ||k 9446/2004|
Obec Nova Ves pod Plesi|242861|Nova Ves pod Plesi 90|262 04|Nova Ves pod Plesi|Pribram|Stredocesky||obecni urad|||Obecni knihovna v Nove Vsi pod Plesi|6013|zakladni|public|Nova Ves pod Plesi 90|262 04|Nova Ves pod Plesi|Pribram|Stredocesky|| || || |2004-07-15|2004-06-18 00:00:00|Cermakova|||A|| ||k 9666/2004|
Mesto Hostomice pod Brdy|233269|Tyrsovo nam. 165|267 24|Hostomice pod Brdy|Beroun|Stredocesky||obecni urad|||Mestska knihovna v Hostomicich pod Brdy - pobocka Radous|6014|zakladni|public|Radous|267 24|Hostomice pod Brdy|Beroun|Stredocesky|| || ||BEG504|2004-07-15|2004-06-18 00:00:00|Cermakova|||A|| ||k 10037/2002|
Narodni pamatkovy ustav, uzemni odborne pracoviste v Praze|75032333|Na Perstyne 12/356|110 00|Praha 1|Praha|Hlavni mesto Praha||pamatkovy ustav|||Knihovna Narodniho pamatkoveho ustavu, uzemniho odborneho pracoviste v hlavnim meste Praze|6015|zakladni se specializovanym knihovnim fondem|NPU|Na Perstyne 12/356|110 00|Praha 1|Praha|Hlavni mesto Praha|| || ||ABE315|2004-07-15|2004-06-28 00:00:00|Cermakova|2016-08-08 00:00:00|M. Fojtik|A|| ||k 10566/2004|
